,Train_filename,Gen_filename,Train_duration,Gen_duration,Difference
18787,b-3_392-500_491.wav,VTTS_b-3_392-500_491.wav,5010,5631,-621
18788,b-3_5853-5956_5897.wav,VTTS_b-3_5853-5956_5897.wav,2610,2252,358
18789,b-2_1427-1562_1543.wav,VTTS_b-2_1427-1562_1543.wav,2610,2334,276
18790,b-1_1313-1413_1417.wav,VTTS_b-1_1313-1413_1417.wav,3320,3146,174
18791,b-1_1616-1716_1643.wav,VTTS_b-1_1616-1716_1643.wav,3780,2810,970
18792,b-1_1515-1615_1537.wav,VTTS_b-1_1515-1615_1537.wav,1540,1300,240
18793,b-4_2000-5164_3075.wav,VTTS_b-4_2000-5164_3075.wav,9688,11505,-1817
18794,b-3_4425-4497_4464.wav,VTTS_b-3_4425-4497_4464.wav,5490,5132,358
18795,b-3_196-293_210.wav,VTTS_b-3_196-293_210.wav,5820,5944,-124
18796,b-2_1427-1562_1465.wav,VTTS_b-2_1427-1562_1465.wav,3430,3251,179
